product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Buttons and Stitches Baby Boys Infant Hooded Towels,bath & hooded towels,B07R89BFHL,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99
"Aquaphor Baby Healing Ointment (14 Oz) + 3-in-1 Diaper Rash Cream (3.5 Oz), Hypoallergenic and Fragrance Free Skin Care Set for Babies",diaper creams,B07Q7SWLB2,21.43,14.36,20.4,19.55,20.56,19.51,20.43,17.56,16.96,18.37,18.91,18.15,19.5,16.92,19.12,19.29,24.44,22.48,23.32,23.05,23.2,21.92,18.86,18.86,18.86,19.74,21.99,21.99,21.65,21.65,20.0,20.0,20.98,23.0,23.63,26.0,26.74,26.74,26.74,26.48,25.72,25.72,23.56,22.38,31.42,10.68,21.53,21.18
"Noodle & Boo Super Soft Moisturizing Lotion for Daily Baby Care, 8 Fl oz",lotions,B000QU75H0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.2,15.2,15.2,15.2,15.2,15.2,15.2,16.0,16.0,16.0,14.0,14.0,14.0,14.0,16.0,16.0
Delta Children Foam Contoured Changing Pad with Waterproof Cover,pads,B08543W8SH,30.21,17.95,18.18,21.76,21.76,19.2,27.88,18.49,31.97,34.12,31.4,32.06,32.92,30.82,22.65,21.31,22.97,22.97,22.97,21.24,19.44,20.0,19.98,19.98,19.98,19.98,19.99,19.99,19.99,20.73,19.98,19.98,17.48,17.44,17.44,18.2,19.98,19.98,19.31,22.48,22.49,22.49,19.98,19.83,19.73,19.73,19.98,19.98
"Johnson's Baby Disposable Hand & Face Cleansing Wipes, Pre-Moistened Disposable Baby Wipes Gently Remove 99% of Germs & Dirt from Delicate Skin, Hypoallergenic, 25 ct",wipes & refills,B07HGDBHYZ,3.29,3.33,3.34,3.22,3.09,3.09,2.89,2.84,3.08,3.75,3.79,3.16,3.16,3.15,2.87,2.9,3.07,3.07,3.49,3.49,4.45,6.39,4.09,3.63,3.39,3.29,3.31,3.34,3.34,3.46,3.6,3.6,3.45,3.83,3.9,3.9,3.91,3.34,3.84,3.93,4.01,3.99,4.12,4.17,4.16,4.4,6.47,5.91
Mustela Newborn Arrival Gift Set - Baby Skincare & Bath Time Essentials - Natural & Plant Based - 5 Items Set,newborn gift sets,B01NA7ZMIA,26.24,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.24,34.24,32.99,32.99,34.99,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,36.49,35.74,34.99,34.99,38.0,38.0,38.0,38.0,38.0,35.6,35.74,37.24,37.24,37.25
Boon Nursh Breast Milk Storage Lids - Made for Boon Nursh Bottles - Lids for Formula Travel Container - Breastfeeding Essentials and Baby Feeding Supplies - 3 Count,food storage,B07L9TVWF2,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,7.49,7.49,7.49,7.49,6.99,6.99,6.99,6.99,6.99,6.99,7.82,7.82,7.82,7.82,7.82,7.99,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,6.48,6.48,6.48,7.49,7.49,7.49,7.49,7.49
"GoBe Kids Original Snack Spinner Bundle with Hand Strap and Sticker Sheet - Reusable Snack Container with 5 Compartment Dispenser and Lid | BPA and PVC Free | Dishwasher Safe | No Spill, Leakproof",food storage,B08N1F8L85,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,28.65,26.3,29.27,25.63,26.97,26.97,28.15,28.88,29.56,27.65,27.38,29.11,29.5,28.93,28.43,27.75,26.96,27.06,27.02,29.79,29.68,26.96,29.81,29.63,29.9,29.9,29.9,29.9,26.46,26.46,26.46,26.46,26.46,23.92,29.95
"Everyday Kids Fitted Crib Sheet, 100% Soft Breathable Microfiber Baby Sheet, Fits Standard Size Crib Mattress 28in x 52in, Gray Nursery Sheet",crib sheets,B07H5NG1QG,,,,,,,,,,,,,,,,,,,,,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
"J.L. Childress Gate Check Bag for Car Seats, Orange",travel bags & carts,B0862ZS3LM,17.99,17.99,17.99,17.99,17.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,14.99,14.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
"Dr. Brown's Milestones Narrow Sippy Spout Bottle with 100% Silicone Handles, Easy-Grip Handles with Soft Sippy Spout, 8oz/250mL, Blue, 1-Pack, 6m+",bottles,B0789XPP5G,6.98,6.98,6.98,6.98,6.99,6.99,6.99,6.09,6.96,6.99,5.03,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,7.99,8.24,8.32,11.5,14.0,14.0,14.0,27.99,25.84,24.69,16.13,15.82,16.11,16.81,20.33,19.4,17.04,16.52,16.52,11.78,11.78,16.28,21.99,21.99,21.99,21.99,21.95,21.95,24.0
"UnbuckleMe Car Seat Buckle Release Tool - Easy Opener Aid for Arthritis, Long Nails, Older Kids - Button pusher for infant, toddler, convertible 5 pt harness car seats - As Seen on Shark Tank (Aqua)",chest & harness clips,B07JJRVXJ1,13.99,13.99,13.99,13.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,12.74,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,13.49,13.49,13.49,13.49,13.49,16.49,14.86,13.79,13.79,13.79,13.79,13.79,13.79,13.79,13.79,13.79,13.79,13.79,13.79,13.79
"Dream On Me, Classic Design Toddler Bed in Fuchsia Pink, Greenguard Gold Certified , 57x28x30 Inch (Pack of 1)",toddler beds,B01M8QCJ9Q,80.1,74.47,73.58,73.58,74.11,79.44,84.08,84.4,92.99,80.94,79.0,79.0,80.94,80.94,80.94,80.94,80.94,80.94,75.02,87.44,89.87,89.87,89.87,89.87,89.87,75.22,75.22,85.28,87.21,87.21,80.54,71.2,71.2,71.2,75.19,75.19,80.38,80.38,80.38,80.38,73.52,75.91,75.91,75.91,75.91,75.91,75.91,75.91
"KeaBabies Hooded Baby Towel for Newborn - Viscose Derived from Bamboo Large Baby Bath Towels with Hood for Boys, Girls, Toddler, Extra Absorbent & Soft Newborn Bath Essentials (Bear)",bath & hooded towels,B075QCPBWD,16.77,16.77,16.77,16.77,16.77,14.87,14.87,16.96,13.48,16.96,16.96,16.96,17.96,17.96,18.96,18.96,17.96,16.99,17.96,17.96,18.96,18.96,19.63,19.63,19.63,19.63,19.63,19.63,19.63,19.63,17.57,18.26,18.96,18.96,18.96,18.96,18.96,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.96
ALVABABY 3pcs Baby Cloth Diaper Wet Dry Bags Waterproof Reusable with Two Pockets Travel Beach Pool Daycare Soiled Baby Items Yoga Gym Bag for Swimsuits or Wet Clothes 3L-H1,wet bags,B075YSHP5J,14.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,16.99,15.99,15.99,15.99,15.99,15.99,13.49,13.49,13.49,14.24,14.24,14.24,14.24,14.99,13.49,13.49,13.49,13.49,13.49,13.49,13.49,12.74,14.99
"Babyfeel Refills for DEKOR PLUS Diaper Pails, 8 Pack, Exclusive 30% Extra Thickness, Fresh Powder Scent, Holds up to 4640 Diapers",diaper disposal bags,B081PL8FKN,36.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99,38.49,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99,48.29,44.46,45.97,45.97,37.99,38.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,38.99,38.99,40.49,41.99,41.99,43.99
"Johnson's Bedtime Baby Bath with Soothing NaturalCalm Aromas, Hypoallergenic & Tear-Free Liquid Baby Bath Formula, No Parabens, Sulfates, Dyes, or Phthalates, 27.1 fl. oz",body wash,B07D2G6CLG,6.86,6.85,6.86,6.86,6.86,7.16,7.08,7.06,7.06,7.06,7.06,7.06,7.06,7.06,14.13,10.89,8.36,7.24,8.88,8.49,8.49,8.11,8.74,8.6,8.77,8.88,8.47,8.57,9.37,9.37,9.43,8.65,8.65,8.65,8.65,9.17,9.17,9.32,9.32,9.32,9.1,9.49,9.74,9.74,9.74,9.49,9.04,9.18
"Baby Trend EZ Ride 35 Travel System, Doodle Dots",travel systems,B079624FFS,136.24,136.24,152.84,153.92,176.84,207.66,220.13,117.0,124.0,147.0,123.0,135.9,170.82,139.0,188.47,158.75,134.87,143.74,157.58,157.58,190.83,167.24,167.24,179.98,169.99,179.99,179.99,135.99,135.99,187.29,183.6,189.98,189.99,189.99,169.0,183.24,180.04,180.99,180.99,180.99,189.97,159.99,159.99,159.99,159.99,169.99,169.99,169.99
"Peekapoo - Disposable Changing Pad Liners (50 Pack) Super Soft, Ultra Absorbent & Waterproof - Covers Any Surface for Mess Free Baby Diaper Changes",disposable pad liners,B07NV7RX7H,,,18.0,18.0,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,28.95,28.45,26.95,25.95,29.95,26.95,26.95,28.45,28.45,28.45,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95
"HALO SleepSack, 100% Cotton Wearable Blanket, Swaddle Transition Sleeping Bag, TOG 0.5, Woodland Etch Blue, X-Large, 18-24 Months",wearable blankets,B07F23JMHK,21.99,21.93,21.8,21.8,21.72,20.76,21.64,22.76,22.76,23.06,23.43,24.59,23.39,23.39,23.39,23.0,26.24,33.32,33.32,25.42,25.42,25.42,25.42,22.49,26.66,27.98,29.03,29.98,27.32,27.49,26.42,29.98,27.21,27.26,26.99,26.99,27.09,29.99,29.99,29.99,28.97,29.96,29.96,29.96,29.22,29.99,29.99,29.99
"OXO Tot Perfect Pull Wipes Dispenser - Gray, 1 Count (Pack of 1)",wipe holders,B0771FFWPX,18.99,18.99,19.85,19.64,17.84,18.98,20.2,20.96,16.3,11.49,17.84,18.0,15.0,19.83,19.89,19.0,20.3,20.25,20.62,19.92,17.96,18.31,20.34,19.57,19.61,20.75,19.37,21.38,19.59,18.79,19.48,16.51,17.64,18.16,20.74,20.62,21.84,21.81,21.35,22.2,22.3,21.41,20.77,22.23,30.25,22.79,21.3,22.84
"Onco Baby Car Mirror Rear Facing - Double Award-Winning Convex Car Mirror for Baby, 100% Shatterproof & Shakeproof with 360° Rotation, Newborn Essentials (9.6 x 6.9 in)",rear facing mirrors,B01FCMV5RM,,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,17.99,12.99,12.99,14.24,15.74,15.99,15.33,16.48,17.32,17.32,17.32,18.99,18.99,17.49,17.49,17.49,17.49,17.49,17.49,17.49,18.49,18.49,18.49,17.66,18.79,18.19,16.66,15.99,15.99,16.99,16.99,16.99,17.99,17.99,17.99,17.99,13.59,16.99
Baby Pacifier Clip Holder - Boy 4 Pack Gift Set – Plaid Deer Forest Woodland Trees Red Black Gray (Lumberjack),pacifier accessories,B07JCSL7FY,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99
"Baby Einstein Neptune's Ocean Discovery Activity Jumper, Ages 6 months +, Max weight 25 lbs., Unisex",activity centers,B01EUNA0WK,109.99,85.98,96.6,117.25,75.04,85.2,115.78,99.97,112.0,111.24,98.28,84.25,85.46,98.77,99.5,95.83,101.75,98.33,92.75,89.32,97.59,94.1,95.59,106.71,106.71,96.66,113.03,116.1,114.99,107.0,109.99,109.99,97.16,97.16,92.78,91.08,92.49,99.99,99.99,99.99,99.99,99.1,99.1,99.03,99.03,99.03,99.03,129.02
