"Title","Categories: Sub","ASIN"
"Hanes Men's Cotton, Moisture-Wicking Crew Tee Undershirts, Multi-Packs, White-12, X-Large","Undershirts, See It On You, Bulk Buying & Case Packs, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Business Pricing & Quantity Discounts, Amazon Fashion: Clothing, Prime Day: 30% off Select Clothing, Shoes & More for Men, Women, Kids & Baby, Everyday Apparel Essentials, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B01HOG83LU"
"IDEGG No Show Socks Womens and Men Low Cut Ankle Short Anti-slid Athletic Running Novelty Casual Invisible Liner Socks","Athletic Socks, Men, Socks, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Top Sellers Men's, Business Pricing & Quantity Discounts, Most Gifted Styles, Top Sellers Men's Test, Everyday Apparel Essentials, Fashion, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B0832HC17R"
"Nippies Nipple Cover - Sticky Adhesive Silicone Nipple Pasties - Reusable Pasty Nipple Covers for Women with Travel Box","Breast Petals, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Shopbop Editors' Holiday Deals Picks: Best Basics, Everyday Value Brands, Shopbop March 2020 Tier Code, Shop All Shopbop Editors' Holiday Deals Picks, Shopbop T5 2022 Full Price ASINs, Everyday Apparel Essentials","B011EX9X4A"
"Promover Winter Pants for Women Wide Leg Yoga Pants Stretchy Flare Sweatpants for Workout Running Soft Athletic Pants with Pockets(Dark Grey,M,30"")","Pants, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, Women's Apparel, Everyday Apparel Essentials","B08KZFXX44"
"Gildan Adult Ultra Cotton T-Shirt, Style G2000, Multipack, Sport Grey (2-Pack), 5X-Large","T-Shirts, T-Shirts, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_9701, The Everyday Staples: T-Shirts, Bulk Buying & Case Packs, Gildan Top 30 PASINs, Top 50 by Product Type, Business Pricing & Quantity Discounts, Gildan 2024, Mens Plus Size Fashion, MFN ONLY V2, Amazon Fashion: Clothing, Everyday Apparel Essentials, Pre-Loved Apparel draft prod1, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B07611Y7JK"
"Gerber Baby 8-Pack Short Sleeve Onesies Bodysuits, Fox, 3-6 Months","Bodysuits, Bodysuits, Gerber Childrenswear | Shop Customer Favorite Organic Baby Clothes, Multipacks, & More, Gerber, 3512041011, 21418026011, Test Color, Business Pricing & Quantity Discounts, Save on select fashion","B07GFNVLR1"
"Hanes Men's Short Sleeve Beefy-T (Pack of 2), White, 6X-Large","T-Shirts, Loungewear for All, Cozy Tops for All, Men's Cozy Styles, Cozy Styles for All, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_9701, 13200977011, 21151580011, Try Men's Cozy Styles, The Men's Spring Trend Edit: Comfort Zone, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Must See Deals, Mens Plus Size Fashion, 21606816011, Men's Loungewear, Prime Day: 30% off Select Clothing, Shoes & More for Men, Women, Kids & Baby, Everyday Apparel Essentials, Prime Wardrobe: Lounge Essentials, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B00JUM7IN6"
"Molasus Women's Soft Cotton Underwear Briefs High Waisted Postpartum Panties Ladies Full Coverage Plus Size Underpants Grey,Size 7","Briefs, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Test Color, Most Gifted Styles, Everyday Apparel Essentials","B07Y373GLK"
"Gildan Adult Fleece Hoodie Sweatshirt, Style G18500, Multipack, White (1-Pack), 2X-Large","Active Sweatshirts, See It On You, Men's Shop by Style: Cool, Women's See It On You, 6609e2df-21bc-475b-90b2-735f42ef982c_3801, Gildan Top 30 PASINs, Everyday Value Brands, Test Color, Business Pricing & Quantity Discounts, Gildan 2024, Men's See It On You, Everyday Apparel Essentials, Spring Fashion for Him, Men's Loungewear Edit, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B07M61M594"
"Dickies mens Heavyweight Crew Neck Short Sleeve Tee Big-tall T Shirt, Charcoal, 3X-Large Big Tall US","Clothing, Men's Big & Tall Clothing, Dickies Summerwear, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Business Pricing & Quantity Discounts, Mens Plus Size Fashion, Men's See It On You, Prime Day: 30% off Select Clothing, Shoes & More for Men, Women, Kids & Baby, Everyday Apparel Essentials, Internet Famous, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B00B6EDH5O"
