"Title","Categories: Sub","ASIN"
"Nutrafol Women's Balance Hair Growth Supplements, Ages 45 and Up, Clinically Proven for Visibly Thicker Hair and Scalp Coverage, Dermatologist Recommended - 1 Month Supply","Hair Regrowth Treatments, Nutrafol","B07QZ5CTTF"
"The Ordinary Hyaluronic Acid 2% + B5 (with Ceramides), Multi-Depth Hydration Serum for Plumper, Smoother Skin, 1 Fl Oz","Serums, Customers' Most-Loved: Health, wellness, and more, Most-loved health & household deals, Customers' Most-Loved: Beauty, Most-loved beauty deals, Customers' Most-Loved Beauty, The Ordinary, New to Premium Skin Care: The Ordinary","B01MYEZPC8"
"Neutrogena Makeup Remover Wipes Singles, Individually Wrapped Face Wipes, Daily Facial Cleanser Towelettes, Gently Removes Oil & Makeup, Alcohol-Free Makeup Wipes, 20 ct","Makeup Cleansing Wipes, Shop J&J Same Day: Available in select metros, Shop Skin Care, Summer Beauty, Make Up Removers","B07GKVBQDG"
"Schick Hydro Silk Touch-Up Dermaplaning Tool with Precision Cover, 3ct | Dermaplane Razor, Face Razors for Women, Eyebrow Razor, Facial Razor, Dermaplaning Razor, Womens Face Razor Peach Fuzz Remover","Disposable Razors, Deodorants & Shave, Customers' Most-Loved Beauty_Temp, Women's Shave and Hair Removal Sample Credit, Shop Personal Care, Self-Care Sale","B0787GLBMV"
"Mielle Organics Rosemary Mint Scalp & Hair Strengthening Oil for All Hair Types, 2 Ounce","Hair Treatment Oils, Beauty Best Sellers","B07N7PK9QK"
"grace & stella Under Eye Mask (Gold, 48 Pairs) Eye Patch, Under Eye Patches for Dark Circles and Puffiness Undereye Bags, Wrinkles - Gel Under Eye Patches - Small Gifts - Vegan Cruelty-Free Self Care","Masks","B014G1G10Q"
"Tree Hut Shea Sugar Scrub Tropical Mango, 18oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Scrubs & Body Treatments, Mom's spa night","B007DGRT3K"
"Maybelline Super Stay Matte Ink Liquid Lipstick Makeup, Long Lasting High Impact Color, Up to 16H Wear, Founder, Cranberry Red, 1 Count, Packaging May Vary","Lipstick, Makeup, Lipstick, Event Deals, Lip Color, Holiday Makeup, Save on Maybelline Lip Makeup, Lips2, Lipstick2","B07GXJJCBB"
"Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant-Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines","Facial Peels, Paula's Choice","B07D8DBS7S"
"Maybelline Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer, 110, 1 Count (Packaging May Vary)","Concealers & Neutralizers, LORCD LUSA USA CPA HOLISTIC BEAUTY, Foundation & Concealer, Foundation & Concealers, Customers' Most-Loved: Beauty, Shop Makeup, Customers' Most-Loved Beauty_Temp, Most-loved beauty deals, Spend $60, Save $20 on Beauty products, Beauty Gifts for Her, Maybelline New York, Buy One Maybelline, Garnier, L'Oreal Paris Item, Get One 50% Off, Customers' Most-Loved Beauty, Spend $20, save $6 on Maybelline, 2022 Gifting Page Beauty - MKD","B004Y9GTOO"
